FA #,SITE NAME,Subbed for Review,Approved,City  ,County,Address 1,Address 2,APN (Estimated from FN),,Previous Permit Documents,SLA/MLA/LDS,Title/Survey,,Landowner/LL,LL Address,LL Contact,LL Phone,Tower Owner (If Different),Tower Owner Contact Info (If Different),,Zoning JDX,Zoning JDX Contact,Title,Phone Number,Permit Process
10104117,LA0103-09 WATSON SUBSTATION,6/4/21,6/9/21,CARSON,LOS ANGELES,24000 BROAD STREET,"CARSON, CA 90745",7404-014-066,,,,,,Alba Aplican,"24007 Broad St, Carson, CA, 90745",Alba Aplicano ,,,,,City of Carson,,,,
10150446,LA0556-1 CARSON STRIP CENTER,6/4/21,6/9/21,CARSON,LOS ANGELES,22829 FIGUEROA STREET,"CARSON, CA 90745",7363-001-044,,,,,,ANCHOR INVESTMENTS,"660 W 6TH ST , SAN PEDRO, CA 90731-2524",,,,,,City of Carson,,,,
10100075,RS0035-04 LA SIERRA CHURCH,6/4/21,6/4/21,RIVERSIDE,RIVERSIDE,11585 PIERCE STREET,"RIVERSIDE, CA 92505",141-320-002,,,,,,SE CALIF ASSN OF 7TH DAY ADVENTISTS,"11585 PIERCE ST, RIVERSIDE, CA 92505-3350",,,,,,City of Riverside,Lisa Rieger,Development Services Representative,951-826-5800,
10068098,EL0049-11 SCE/WESTERN TORRANCE,6/4/21,6/9/21,Gardena,LOS ANGELES,17605 WESTERN AVENUE,"TORRANCE, CA 90504",,,,,,,,,,,,,,City of Torrance,,,,
10546967,CLU2624,6/4/21,6/9/21,HAWTHORNE,LOS ANGELES,3456 WEST EL SEGUNDO BOULEVARD,"HAWTHORNE, CA 90250",,,,,,,,,,,,,,City of Hawthorne,,,,
10101531,Arringdales Auto,6/15/21,6/16/21,HESPERIA,LOS ANGELES,11981 I AVENUE,"HESPERIA, CA 92345",0399-131-21-0000,,,,,,ARRINGDALE JANICE R & RICKY D LIVIN,,,,,,,City of Hesperia,,,,
10150464,RS0325-01 BEAUMONT,6/15/21,6/16/21,BEAUMONT,RIVERSIDE,655 EAST FIFTH STREET,"BEAUMONT, CA 92223",418-140-030,,,,,,BEAUMONT AUTO CENTER,,,,,,,City of Beaumont,,,,
10106089,FIRST CONGREGATIONAL CHURCH,6/15/21,6/15/21,CORONA,RIVERSIDE,805 RAMONA AVENUE,"CORONA, CA 92882",117-232-007,,,,,,CONGREGATIONAL CHURCH; IGLESIA DE DIOS,,,,,,,City of Corona,,,,
10141272,LA6052-51 DUFFERIN RELOCATION,6/15/21,6/15/21,RIVERSIDE,RIVERSIDE,10591 DUFFERIN AVENUE,"RIVERSIDE, CA 92503",,,,,,,"could not confirm on Ticor, wait for CDs",,,,,,,City of Riverside,Lisa Rieger,Development Services Representative,951-826-5800,
10086532,CLINTON KEITH AND GRAND,6/15/21,6/15/21,WILDOMAR,RIVERSIDE,22808 GRAND AVENUE,"WILDOMAR, CA 92595",,,,,,,could not find on Ticor,,,,,,,City of WIldomar,,,,
10068764,RS0042-06 EVERGREEN MASONIC CENTER COLO,6/15/21,6/15/21,RIVERSIDE,RIVERSIDE,5801 CHICAGO AVENUE,"RIVERSIDE, CA 92506",254-290-006       ,,,,,,EVERGREEN MASONIC TEMPLE ASSN        ,"PO BOX 56564 , RIVERSIDE, CA 92517-1464",,,,,,City of Riverside,Lisa Rieger,Development Services Representative,951-826-5800,
10150418,RS0326-01 PIGEON PASS,6/15/21,6/16/21,MORENO VALLEY,RIVERSIDE,11875 PIGEON PASS ROAD,"MORENO VALLEY, CA 92557",264-030-027,,,,,,"GSJ PACIFIC LLC, ; MCDOWELL, JOANNE MALDONADO",,,,,,,City of Moreno Valley,,,,
10085993,C229/VENICE II OVLY - C229,6/15/21,6/15/21,VENICE,LOS ANGELES,122 LINCOLN BOULEVARD,"VENICE, CA 90291",4243-012-028,,,,,,LINCOLN COMMONWEALTH LLC,,,,,,,City of LA,Antonio Isaia,Planner,(213) 376-9859,
10150416,RS0323-02 WIEST INDUSTRIAL PARK,6/15/21,6/15/21,RIVERSIDE,RIVERSIDE,3890 PIERCE STREET,"RIVERSIDE, CA 92503",142-180-042       ,,,,,,WIEST INDUSTRIAL PARK       ,"3890 PIERCE ST , RIVERSIDE, CA 92503-4927",,,,,,City of Riverside,Lisa Rieger,Development Services Representative,951-826-5800,
10112463,RS0172-01 SALON,6/15/21,6/15/21,CHERRY VALLEY,RIVERSIDE,38811 CHERRY VALLEY BOULEVARD,"CHERRY VALLEY, CA 92223",,,need to get amend for generator space,2421 elibible from riverside,,,,,,,,,,Riverside County,Dianna Ross,Regional Office Manager,951-955-6574,
10086603,91 FWY LINCOLN,6/15/21,6/15/21,CORONA,RIVERSIDE,210 SOUTH LINCOLN AVENUE,"CORONA, CA 92882",,,,,,,,,,,,,,City of Corona,,,,
10148706,RS0311-01-SOUTH HILLS CHURCH,6/15/21,6/15/21,CORONA,RIVERSIDE,2587 SOUTH MAIN STREET,"CORONA, CA 92882",,,,,,,,,,,,,,City of Corona,,,,
10086566,GLEN IVY EXIT,6/15/21,6/15/21,CORONA,RIVERSIDE,23900 TEMESCAL CANYON ROAD,"CORONA, CA 92883",,,,,,,,,,,,,,City of Corona,,,,
10094501,JURUPA VALLEY SPORTS PARK,6/15/21,6/16/21,MIRA LOMA,RIVERSIDE,10400-10500 BELLEGRAVE AVENUE,"MIRA LOMA, CA 91752",,,,,,,,,,,,,,City of Jurupa Valley,,,,
10087464,RS0030-01 4 NEW,6/15/21,6/16/21,MORENO VALLEY,RIVERSIDE,26930 FIR AVENUE,"MORENO VALLEY, CA 92555",,,,,,,,,,,,,,City of Moreno Valley,,,,
10103647,LA0621-01 VENICE BEACH HOSTEL,6/15/21,6/15/21,VENICE,LOS ANGELES,1515 PACIFIC BOULEVARD,"VENICE, CA 90291",,,,,,,,,,,,,,City of LA,Antonio Isaia,Planner,(213) 376-9859,
10106720,RS0152-03 BLOCKBUSTER,6/16/21,6/17/21,TEMECULA,RIVERSIDE,29740 RANCHO CALIFORNIA ROAD,"TEMECULA, CA 92591",921-760-009       ,,,,,,BC III PROP       ,"29645 RANCHO CALIFORNIA RD , TEMECULA, CA 92591-6200",,,,,,City of Temecula,Dianna Ross,Regional Office Manager,951-955-6574,
10086467,CORONA AVE AND 1ST,6/29/21,6/29/21,NORCO,RIVERSIDE,2035 RIVER ROAD,"NORCO, CA 92860",,,,,,,,,,,,,,City of Norco,,,,
10100123,EL0008-02 BOYS and GIRLS CLUB VENICE,6/29/21,6/29/21,VENICE,LOS ANGELES,2300 LINCOLN BOULEVARD,"VENICE, CA 90291",4289-001-006,,,,,,"AIMONETTI, MATT; AIMONETTI, HEIDI VEGA",,,,,,,City of LA,Antonio Isaia,Planner,(213) 376-9859,
10085835,LAC138-01 GLENDALE EAST,6/29/21,6/29/21,GLENDALE,LOS ANGELES,425 EAST COLORADO STREET,"GLENDALE, CA 91205",5642-010-046,,,,,,BSREP SOCAL GLENDALE LLC,"3 WORLD FINANCIAL CTR # 11THFL , NEW YORK, NY 10281-1013",,,,,,TBD (Not City of LA),,,,
10086572,MAGNOLIA AND LINCOLN,6/29/21,6/29/21,CORONA,RIVERSIDE,2870 RAGLE WAY,"CORONA, CA 92879",172-390-028,,,,,,DOCK PROS INC,,,,,,,City of Corona,,,,
10136071,RS0176-02 EAGLE GLEN PARK,6/29/21,6/29/21,CORONA,RIVERSIDE,4190 BENNETT AVENUE,"CORONA, CA 92883",,,,,,,,,,,,,,City of Corona,,,,
10150417,RS0324-02 EWING IRRIGATION,6/29/21,6/29/21,CORONA,RIVERSIDE,13465 ESTELLE STREET,"CORONA, CA 92879",,,,,,,,,,,,,,City of Corona,,,,
10085979,SANTA MONICA/MELROSE,6/29/21,6/29/21,WEST HOLLYWOOD,LOS ANGELES,9029 SANTA MONICA BOULEVARD,"WEST HOLLYWOOD, CA 90069",,,,,,,,,,,,,,City of West Hollywood,,,,
10068229,SV0057-01 ALHAMBRA BAPTIST CHURCH,6/29/21,6/29/21,ALHAMBRA,LOS ANGELES,101 SOUTH ATLANTIC BOULEVARD,"ALHAMBRA, CA 91801",5343-023-009,,,,,,FIRST BAPTIST CHURCH,"101 S ATLANTIC BLVD , ALHAMBRA, CA 91801-3256",,,,,,City of LA,Antonio Isaia,Planner,(213) 376-9859,
10086723,CSUN,7/2/21,7/2/21,City of LA,LOS ANGELES,18111 NORDHOFF STREET,"Northridge, CA 91330",,,,,,,,,,,,,,,,,,
11585748,SV0302_CLU6384,7/2/21,7/2/21,City of Pasadena ,LOS ANGELES,180 SOUTH LAKE AVENUE,"Pasadena, CA 91101",,,,,,,,,,,,,,,,,,
10085714,NATIONAL MOTOR,7/2/21,7/2/21,Los Angeles,LOS ANGELES,10321 NATIONAL BOULEVARD,"Los Angeles, CA 90034",,,,,,,,,,,,,,,,,,
10085876,C351/TORRANCE/EAST OVLY - C351,7/2/21,7/2/21,Torrance,LOS ANGELES,20346 HAWTHORNE BOULEVARD,"Torrance, CA 90503",,,,,,,,,,,,,,,,,,
10086126,HOLLYWOOD/WEST,7/2/21,7/2/21,Los Angeles,LOS ANGELES,7401 WEST SUNSET BOULEVARD,"Los Angeles, CA 90046",,,,,,,,,,,,,,,,,,
10086659,LA0089-01 RUBY and MILDRED,7/2/21,7/2/21,Torrance,LOS ANGELES,5334 TORRANCE BOULEVARD,"Torrance, CA 90503",,,,,,,,,,,,,,,,,,
10086670,S MARIPOSA - W 3RD,7/2/21,7/2/21,Los Angeles,LOS ANGELES,260 SOUTH MARIPOSA,"Los Angeles, CA 90004",,,,,,,,,,,,,,,,,,
10086599,10 FWY WASHINGTON,7/9/21,7/12/21,INDIO,LOS ANGELES,79370 Varner Rd,"Indio, CA 92202",,,,,,,CITY OF INDIO,,,,,,,City of Indio,,,,
10086993,5 FWY / LA PAZ,7/9/21,7/12/21,LAGUNA HILLS,ORANGE,25205 LAPAZ ROAD,"LAGUNA HILLS, CA 92653",620-181-02,,,,,,LEES LAGUNA HILL RESORT LLC,,,,,,,Orange County,Cynthia Burgos,Contract Planner,(714) 667-8898,
10087096,ALICIA/MARGUARITE,7/9/21,7/12/21,MISSION VIEJO,RIVERSIDE,23120 ALICIA PARKWAY,"MISSION VIEJO, CA 92692",808-771-02,,,,,,23120 ALICIA PARKWAY OWNER LLC,,,,,,,City of Mission Viejo,,,,
10086635,C318/RIVERSIDE OVLY - C318,7/9/21,7/12/21,RIVERSIDE,RIVERSIDE,3610 CENTRAL AVENUE,"RIVERSIDE, CA 92506",225-242-052,,,,,,B H CENTRAL; UNIVERSITY OF REDLANDS,,,,,,,City of Riverside,Lisa Rieger,Development Services Representative,951-826-5800,
10087056,C638 Alicia Parkway/5 Fwy,7/9/21,7/12/21,LAGUNA HILLS,Orange,24422 Avenida De La Carlota,"Laguna Hills, CA 92653",620-492-01,,,,,,DEPARTMENT OF TRANSPORTATION,,,,,,,Orange County,Cynthia Burgos,Contract Planner,(714) 667-8898,
10103534,CORONA WATER TANK,7/9/21,7/12/21,CORONA,RIVERSIDE,881 1/2 CORSICA DRIVE,"CORONA, CA 92879",,,,,,,City of Corona,,,,,,,Riverside County,Dianna Ross,Regional Office Manager,951-955-6574,
10086995,IRVINE CTR DR/ SCIENTIFIC,7/9/21,7/12/21,IRVINE,ORANGE,33 BUNSEN,"IRVINE, CA 92618",588-191-19,,,,,,4Y RESOURCES LLC,,,,,,,City of Irvine,,,,
10085692,LAC120-01 SANTA MONICA/LA OVLY - C120,7/9/21,7/12/21,HOLLYWOOD,LOS ANGELES,1115 NORTH ORANGE DRIVE,"LOS ANGELES, CA 90038",,,,,,,,,,,,,,City of LA,Antonio Isaia,Planner,(213) 376-9859,
10087041,LAGUNA NIGUEL,7/9/21,7/12/21,LAGUNA NIGUEL,ORANGE,29828 GOLDEN LANTERN,"LAGUNA NIGUEL, CA 92677",637-461-28,,,,,,MOULTON-NIGUEL WATER DISTRICT,,,,,,,Orange County,Cynthia Burgos,Contract Planner,(714) 667-8898,
10086956,LAKE FOREST AND JERONIMO,7/9/21,7/12/21,LAKE FOREST,ORANGE,24752 TOLEDO WAY,"LAKE FOREST, CA 92630",614-190-01,,,,,,LAKE FOREST NO 2 MASTER HOMEOWNERS ASSN,,,,,,,Orange County,Cynthia Burgos,Contract Planner,(714) 667-8898,
10086580,PGA WEST,7/9/21,7/12/21,LA QUINTA,RIVERSIDE,81610 AVENUE 58,"LA QUINTA, CA 92253",,,,,,,,,,,,,,City of La Quinta,,,,
10087067,R086/ Foothill Corridor 1,7/9/21,7/12/21,LAKE FOREST,RIVERSIDE,26001 Dimension Dr,"Lake Forest, CA 92630",,,,,,,,,,,,,,City of Lake Forest,,,,
10086531,RECYCLING CENTER THERMAL,7/9/21,7/12/21,THERMAL,RIVERSIDE,65949 HIGHWAY 86,"THERMAL, CA 92274",,,,,,,"could not confirm on Ticor, wait for CDs",,,,,,,Riverside County,Dianna Ross,Regional Office Manager,951-955-6574,
10087461,RS0021-01 (ORANGE CM261) 2 NEW,7/9/21,7/12/21,TEMECULA,RIVERSIDE,41280 PLACER LAFITE,"TEMECULA, CA 92591",953-390-002       ,,,,,,RANCHO CALIF WATER DIST       ,"PO BOX 9017 , TEMECULA, CA 92589-9017",,,,,,Riverside County,Dianna Ross,Regional Office Manager,951-955-6574,
10100080,RS0022-01 MENIFEE VALLEY,7/9/21,7/12/21,MENIFEE,RIVERSIDE,28818 LINDENBERGER ROAD,"MENIFEE, CA 92584",,,,,,,,,,,,,,Riverside County,Dianna Ross,Regional Office Manager,951-955-6574,
10087064,SAN CLEMENTE,7/9/21,7/12/21,SAN CLEMENTE,RIVERSIDE,2401 1/2 AVENUE DEL PRESIDENTE,"SAN CLEMENTE, CA 92672",,,,,,,"could not confirm on Ticor, wait for CDs",,,,,,,City of San Clemente,,,,
10087133,SANTA MARGARITA OVLY - C235,7/9/21,7/12/21,RANCHO SANTA MARGARITA,RIVERSIDE,22644 CAMINO ALTOZANO,"RANCHO SANTA MARGARITA, CA 92688",,,,,,,"could not confirm on Ticor, wait for CDs",,,,,,,City of Rancho Santa Margarita,,,,
10101525,Temecula Promenade,7/9/21,7/12/21,TEMECULA,RIVERSIDE,40940 County Center Drive,"Temecula, CA 92591",910-110-088        ,,,,,,COUNTY CENTER DRIVE INV        ,"2011 W VISTA WAY , VISTA, CA 92083-6013",,,,,,City of Temecula,,,,
10100113,SCE MEDRONA,7/19/21,,Torrance,LOS ANGELES,21770 MADRONA AVENUE,"Torrance, CA 90503",,,,,,,,,,,,,,,,,,
10100114,SCE PRAIRE,7/19/21,,Torrance,LOS ANGELES,17750 PRAIRIE AVENUE,"Torrance, CA 90504",,,,,,,,,,,,,,,,,,
10115924,SO. REDONDO BCH,7/20/21,,Redondo Beach,LOS ANGELES,1650 SOUTH PACFIC COAST HIGHWAY,"Redondo Beach, CA 90277",,,,,,,,,,,,,,,,,,
